Axial Stiffness [N]

Dia: 0.1 m
+-----------------+------------+------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+
| Fibre Or. [deg] | 10 Layers  | 15 Layers  |  20 Layers  |  25 Layers  |  30 Layers  |  35 Layers  |  40 Layers  |  45 Layers  |  50 Layers  |
+-----------------+------------+------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+
|       0.0       | 6394407.65 | 9442969.55 | 12563673.10 | 15752546.34 | 19008333.17 | 22330510.99 | 25718823.47 | 29173130.16 | 32693347.64 |
|       5.0       | 6171940.04 | 9112025.10 | 12251410.80 | 15336035.79 | 18570869.38 | 21793484.97 | 25143485.74 | 28500366.55 | 31971733.23 |
|       10.0      | 5589647.51 | 8250535.84 | 11165952.86 | 13963255.68 | 16945006.70 | 19872600.98 | 22951405.63 | 26004410.27 | 29189761.33 |
|       15.0      | 4476851.84 | 6607859.27 |  8943662.27 | 11184138.87 | 13572611.45 | 15917508.65 | 18383636.18 | 20829006.04 | 23380448.43 |
|       20.0      | 3020782.71 | 4459116.42 |  6014621.33 |  7525370.66 |  9121943.44 | 10701641.40 | 12352682.26 | 13999076.41 | 15708659.91 |
|       25.0      | 1762147.39 | 2601524.21 |  3493670.29 |  4374170.40 |  5294464.07 |  6214064.83 |  7167661.75 |  8125361.88 |  9113823.47 |
|       30.0      | 959896.14  | 1417283.99 |  1896498.15 |  2375777.57 |  2872215.35 |  3372296.64 |  3887553.55 |  4408032.39 |  4942595.44 |
|       35.0      | 527792.33  | 779342.52  |  1040277.86 |  1303669.23 |  1574797.60 |  1849438.62 |  2131170.45 |  2416892.74 |  2709357.98 |
|       40.0      | 313079.42  | 462318.24  |  616119.92  |  772306.92  |  932434.33  |  1095222.25 |  1261737.65 |  1431047.44 |  1603974.90 |
|       45.0      | 211550.70  | 312401.89  |  415930.12  |  521445.44  |  629361.44  |  739307.85  |  851579.95  |  965912.49  |  1082535.49 |
|       50.0      | 166560.64  | 245967.59  |  327322.94  |  410389.99  |  495244.56  |  581788.89  |  670088.71  |  760078.25  |  851810.81  |
|       55.0      | 149317.35  | 220504.83  |  293386.95  |  367851.63  |  443885.30  |  521463.53  |  600590.86  |  681254.98  |  763462.00  |
|       60.0      | 145349.37  | 214645.32  |  285581.11  |  358066.43  |  432072.76  |  507588.19  |  584606.91  |  663125.73  |  743142.74  |
|       65.0      | 147324.05  | 217561.36  |  289464.11  |  362934.39  |  437948.46  |  514490.24  |  592557.32  |  672143.46  |  753249.41  |
|       70.0      | 151480.24  | 223698.91  |  297635.35  |  373178.60  |  450312.64  |  529014.43  |  609287.07  |  691119.38  |  774516.39  |
|       75.0      | 155870.80  | 230182.61  |  306265.80  |  383998.82  |  463371.22  |  544354.62  |  626956.22  |  711161.06  |  796977.42  |
|       80.0      | 159487.16  | 235523.06  |  313372.26  |  392908.81  |  474123.33  |  556985.72  |  641504.28  |  727662.90  |  815470.77  |
|       85.0      | 161818.04  | 238965.33  |  317947.45  |  398646.14  |  481044.18  |  565116.97  |  650867.82  |  738284.76  |  827373.20  |
|       90.0      | 162623.21  | 240154.53  |  319520.58  |  400620.31  |  483421.81  |  567911.76  |  654083.66  |  741933.93  |  831460.45  |
+-----------------+------------+------------+-------------+-------------+-------------+-------------+-------------+-------------+-------------+
