Axial Stiffness [N]

Dia: 0.06 m
+-----------------+-------------+
| Fibre Or. [deg] |  40 Layers  |
+-----------------+-------------+
|       0.0       | 16288588.20 |
|       5.0       | 15924207.64 |
|       10.0      | 14535890.23 |
|       15.0      | 11642969.58 |
|       20.0      |  7823365.43 |
|       25.0      |  4539519.11 |
|       30.0      |  2462117.25 |
|       35.0      |  1349741.29 |
|       40.0      |  799100.51  |
|       45.0      |  539333.97  |
|       50.0      |  424389.52  |
|       55.0      |  380374.21  |
|       60.0      |  370251.04  |
|       65.0      |  375286.30  |
|       70.0      |  385881.81  |
|       75.0      |  397072.27  |
|       80.0      |  406286.05  |
|       85.0      |  412216.28  |
|       90.0      |  414252.98  |
+-----------------+-------------+
