Bending Stiffness [Nm^2]

Dia: 0.1 m
+-----------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
| Fibre Or. [deg] | 10 Layers | 15 Layers | 20 Layers | 25 Layers | 30 Layers | 35 Layers | 40 Layers | 45 Layers | 50 Layers |
+-----------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
|       0.0       |  14463.45 |  21704.50 |  28956.76 |  36223.96 |  43509.83 |  50818.10 |  58152.51 |  65516.79 |  72914.68 |
|       5.0       |  13854.24 |  20780.41 |  28022.86 |  34997.18 |  42186.58 |  49219.87 |  56422.13 |  63522.40 |  70768.27 |
|       10.0      |  12262.06 |  18385.97 |  24960.35 |  31140.84 |  37620.94 |  43865.25 |  50338.88 |  56650.73 |  63154.50 |
|       15.0      |  9448.06  |  14166.50 |  19234.43 |  23997.64 |  28992.83 |  33806.46 |  38797.80 |  43665.05 |  48681.29 |
|       20.0      |  6033.68  |  9048.68  |  12243.13 |  15284.15 |  18445.06 |  21516.54 |  24681.15 |  27786.43 |  30971.14 |
|       25.0      |  3274.14  |  4911.46  |  6616.02  |  8265.64  |  9961.13  |  11626.15 |  13327.95 |  15011.11 |  16726.80 |
|       30.0      |  1628.57  |  2443.55  |  3279.79  |  4100.26  |  4935.93  |  5763.81  |  6604.62  |  7441.74  |  8290.98  |
|       35.0      |   801.19  |  1202.36  |  1609.92  |  2013.69  |  2422.45  |  2829.95  |  3242.13  |  3654.49  |  4071.60  |
|       40.0      |   415.66  |   623.90  |   834.12  |  1043.75  |  1255.20  |  1466.94  |  1680.61  |  1895.15  |  2111.85  |
|       45.0      |   239.33  |   359.30  |   479.98  |   600.83  |   722.53  |   844.76  |   968.02  |  1092.13  |  1217.47  |
|       50.0      |   155.74  |   233.85  |   312.31  |   391.11  |   470.43  |   550.30  |   630.89  |   712.22  |   794.45  |
|       55.0      |   111.19  |   167.00  |   223.09  |   279.51  |   336.38  |   393.76  |   451.76  |   510.45  |   569.93  |
|       60.0      |   82.28   |   123.63  |   165.23  |   207.18  |   249.54  |   292.42  |   335.89  |   380.05  |   424.96  |
|       65.0      |   59.61   |   89.63   |   119.91  |   150.54  |   181.59  |   213.16  |   245.33  |   278.19  |   311.83  |
|       70.0      |   40.18   |   60.50   |   81.08   |   102.01  |   123.39  |   145.29  |   167.82  |   191.05  |   215.08  |
|       75.0      |   23.73   |   35.82   |   48.19   |   60.92   |   74.11   |   87.84   |   102.21  |   117.31  |   133.22  |
|       80.0      |   11.00   |   16.73   |   22.74   |   29.13   |   35.98   |   43.39   |   51.45   |   60.25   |   69.90   |
|       85.0      |    2.91   |    4.59   |    6.57   |    8.92   |   11.74   |   15.13   |   19.18   |   23.99   |   29.65   |
|       90.0      |    0.13   |    0.43   |    1.01   |    1.98   |    3.42   |    5.43   |    8.10   |   11.54   |   15.83   |
+-----------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
