Bending Stiffness [Nm^2]

Dia: 0.06 m
+-----------------+-----------+
| Fibre Or. [deg] | 40 Layers |
+-----------------+-----------+
|       0.0       |  12683.30 |
|       5.0       |  12306.80 |
|       10.0      |  10982.39 |
|       15.0      |  8467.79  |
|       20.0      |  5389.90  |
|       25.0      |  2912.94  |
|       30.0      |  1445.09  |
|       35.0      |   710.44  |
|       40.0      |   369.01  |
|       45.0      |   213.14  |
|       50.0      |   139.46  |
|       55.0      |   100.44  |
|       60.0      |   75.33   |
|       65.0      |   55.81   |
|       70.0      |   39.15   |
|       75.0      |   25.06   |
|       80.0      |   14.16   |
|       85.0      |    7.24   |
|       90.0      |    4.86   |
+-----------------+-----------+
