Torsional Stiffness [Nm^2]

Dia: 0.1 m
+-----------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
| Fibre Or. [deg] | 10 Layers | 15 Layers | 20 Layers | 25 Layers | 30 Layers | 35 Layers | 40 Layers | 45 Layers | 50 Layers |
+-----------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
|       0.0       |   146.13  |   222.94  |   306.26  |   396.25  |   493.15  |   597.22  |   708.70  |   827.89  |   955.03  |
|       5.0       |   268.43  |   409.41  |   568.36  |   734.18  |   916.94  |  1109.26  |  1318.60  |  1539.26  |  1777.46  |
|       10.0      |   620.58  |   946.30  |  1323.08  |  1707.21  |  2137.21  |  2583.63  |  3074.74  |  3587.58  |  4145.55  |
|       15.0      |  1160.19  |  1768.96  |  2479.42  |  3198.06  |  4006.80  |  4842.56  |  5765.31  |  6725.83  |  7773.68  |
|       20.0      |  1822.27  |  2778.35  |  3897.95  |  5027.01  |  6300.24  |  7613.66  |  9065.84  |  10575.58 |  12224.29 |
|       25.0      |  2527.13  |  3852.96  |  5407.68  |  6973.63  |  8740.98  |  10562.83 |  12578.27 |  14672.57 |  16960.61 |
|       30.0      |  3189.92  |  4863.46  |  6826.58  |  8803.29  |  11034.69 |  13334.48 |  15879.01 |  18522.78 |  21411.40 |
|       35.0      |  3730.78  |  5688.07  |  7983.57  |  10295.39 |  12904.74 |  15594.37 |  18569.97 |  21661.84 |  25039.86 |
|       40.0      |  4084.23  |  6226.99  |  8738.97  |  11269.72 |  14125.49 |  17069.75 |  20326.49 |  23711.01 |  27408.29 |
|       45.0      |  4207.10  |  6414.34  |  9001.38  |  11608.23 |  14549.50 |  17582.24 |  20936.56 |  24422.75 |  28230.86 |
|       50.0      |  4084.23  |  6226.99  |  8738.97  |  11269.72 |  14125.49 |  17069.75 |  20326.49 |  23711.01 |  27408.29 |
|       55.0      |  3730.78  |  5688.07  |  7983.57  |  10295.39 |  12904.74 |  15594.37 |  18569.97 |  21661.84 |  25039.86 |
|       60.0      |  3189.92  |  4863.46  |  6826.58  |  8803.29  |  11034.69 |  13334.48 |  15879.01 |  18522.78 |  21411.40 |
|       65.0      |  2527.13  |  3852.96  |  5407.68  |  6973.63  |  8740.98  |  10562.83 |  12578.27 |  14672.57 |  16960.61 |
|       70.0      |  1822.27  |  2778.35  |  3897.95  |  5027.01  |  6300.24  |  7613.66  |  9065.84  |  10575.58 |  12224.29 |
|       75.0      |  1160.19  |  1768.96  |  2479.42  |  3198.06  |  4006.80  |  4842.56  |  5765.31  |  6725.83  |  7773.68  |
|       80.0      |   620.58  |   946.30  |  1323.08  |  1707.21  |  2137.21  |  2583.63  |  3074.74  |  3587.58  |  4145.55  |
|       85.0      |   268.43  |   409.41  |   568.36  |   734.18  |   916.94  |  1109.26  |  1318.60  |  1539.26  |  1777.46  |
|       90.0      |   146.13  |   222.94  |   306.26  |   396.25  |   493.15  |   597.22  |   708.70  |   827.89  |   955.03  |
+-----------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+
